full_name,email,phone,role,is_active,status,tenant_id,school_name,created_at,last_login
fgrht,ryrey@school.com,05456543535,independent_teacher,t,active,,,2026-04-07 14:43:30.755593+00,2026-04-07 14:44:09.915316+00
قاقفافقاقفففففف,testttt@gmail.com,05345675453,independent_teacher,t,active,95e9fd31-2690-4d0c-bbc3-346a47009b5c,مدرسة الحرية,2026-04-18 17:45:51.59207+00,
محمممد,moo@gmail.com,053656345,independent_teacher,t,active,,,2026-04-18 17:21:47.108977+00,
5غغقعق64,parent_96015bd6@farabi-001.edu.sa,,parent,t,active,cfe73b06-0945-4d9a-acbb-9bc960d43a89,مدرسة الفارابي للتعليم الأساسي,2026-04-18 18:52:25.595356+00,
أحمد البقمي,ahmd.albqmy.w129@gmail.com,,parent,t,active,cfe73b06-0945-4d9a-acbb-9bc960d43a89,مدرسة الفارابي للتعليم الأساسي,2026-04-16 02:04:09.051769+00,
أحمد البقمي,ahmd.albqmy.w131@gmail.com,,parent,t,active,e99d639a-2d11-4d93-bc3f-f15cfb5e45e0,أكاديمية ابن سينا الدولية,2026-04-16 02:04:10.535722+00,
أحمد التميمي,ahmd.altmymy.w70@gmail.com,,parent,t,active,e99d639a-2d11-4d93-bc3f-f15cfb5e45e0,أكاديمية ابن سينا الدولية,2026-04-16 02:04:10.137123+00,
أحمد الجهني,ahmd.aljhny.w65@gmail.com,,parent,t,active,cfe73b06-0945-4d9a-acbb-9bc960d43a89,مدرسة الفارابي للتعليم الأساسي,2026-04-16 02:04:08.699855+00,
أحمد الجهني,ahmd.aljhny.w134@gmail.com,,parent,t,active,e99d639a-2d11-4d93-bc3f-f15cfb5e45e0,أكاديمية ابن سينا الدولية,2026-04-16 02:04:10.552963+00,
أحمد الجهني,ahmd.aljhny.w234@gmail.com,,parent,t,active,cfe73b06-0945-4d9a-acbb-9bc960d43a89,مدرسة الفارابي للتعليم الأساسي,2026-04-16 02:04:09.638078+00,
أحمد الجهني,ahmd.aljhny.w90@gmail.com,,parent,t,active,e99d639a-2d11-4d93-bc3f-f15cfb5e45e0,أكاديمية ابن سينا الدولية,2026-04-16 02:04:10.263424+00,
أحمد الحربي,ahmd.alhrby.w142@gmail.com,,parent,t,active,cfe73b06-0945-4d9a-acbb-9bc960d43a89,مدرسة الفارابي للتعليم الأساسي,2026-04-16 02:04:09.124376+00,
أحمد الدوسري,ahmd.aldwsry.w135@gmail.com,,parent,t,active,cfe73b06-0945-4d9a-acbb-9bc960d43a89,مدرسة الفارابي للتعليم الأساسي,2026-04-16 02:04:09.085317+00,
أحمد الدوسري,ahmd.aldwsry.w86@gmail.com,,parent,t,active,e99d639a-2d11-4d93-bc3f-f15cfb5e45e0,أكاديمية ابن سينا الدولية,2026-04-16 02:04:10.238131+00,
أحمد الدوسري,ahmd.aldwsry.w139@gmail.com,,parent,t,active,e99d639a-2d11-4d93-bc3f-f15cfb5e45e0,أكاديمية ابن سينا الدولية,2026-04-16 02:04:10.580936+00,
